genome.genome_id	genome.biosample_accession	genome.geographic_location	genome.isolation_country	genome.collection_date	genome.collection_year
1773.643	SAMEA787746	Uganda: Kampala	Uganda	2005-10-01	2005
1773.1017	SAMEA1403968	Russia	Russia	2008	2008
1773.9548	SAMN08684019	Lebanon	Lebanon	2017	2017
1773.10538	SAMN09566410	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10844	SAMN09566677	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10814	SAMN09566722	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.713	SAMEA968177	Netherlands: Amsterdam	Netherlands	1994-12	1994
1773.823	SAMEA968080	Netherlands: Amsterdam	Netherlands	1992-09	1992
1773.859	SAMEA968084	Netherlands: Amsterdam	Netherlands	1999-06	1999
1773.621	SAMEA787745	Uganda: Kampala	Uganda	2004-04-01	2004
1773.770	SAMEA968103	Netherlands: Amsterdam	Netherlands	2001-12	2001
1773.10542	SAMN09566395	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10557	SAMN09566394	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.576	SAMEA787732	Uganda: Kampala	Uganda	2005-10-01	2005
1773.810	SAMEA968194	Netherlands: Amsterdam	Netherlands	1996-08	1996
1773.876	SAMEA968141	Netherlands: Amsterdam	Netherlands	1995-03	1995
1773.817	SAMEA968079	Netherlands: Amsterdam	Netherlands	1992-07	1992
1773.1173	SAMEA787734	Uganda: Kampala	Uganda	2004-07-01	2004
1773.634	SAMEA787742	Uganda: Kampala	Uganda	2003-09-01	2003
1773.10577	SAMN09566468	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2315	SAMEA961675	United Kingdom: Midlands	United Kingdom	2007	2007
1773.10586	SAMN09566455	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10583	SAMN09566458	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.798	SAMEA968174	Netherlands: Amsterdam	Netherlands	1993-10	1993
1773.2253	SAMEA961605	United Kingdom: Midlands	United Kingdom	2005	2005
1773.2231	SAMEA961575	United Kingdom: Midlands	United Kingdom	2007	2007
1773.729	SAMEA1706706	Netherlands	Netherlands	1998-03	1998
1773.2143	SAMEA1019134	United Kingdom: Midlands	United Kingdom	2009	2009
1773.1167	SAMEA787720	Uganda: Kampala	Uganda	2004-04-01	2004
1773.845	SAMN03941250	Taiwan: Chiayi, Wanciao Branch, Taichung Veterans General Hospital	Taiwan	2006-02-07	2006
1773.647	SAMEA968161	Netherlands: Amsterdam	Netherlands	1999-03	1999
1773.772	SAMEA968207	Netherlands: Amsterdam	Netherlands	2004-11	2004
1773.1174	SAMEA787735	Uganda: Kampala	Uganda	2004-04-01	2004
1773.10789	SAMN09566712	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.848	SAMEA1706664	Netherlands: Amsterdam	Netherlands	1995-11	1995
1773.891	SAMEA968209	Netherlands: Amsterdam	Netherlands	2001-10	2001
1773.870	SAMEA968120	Netherlands: Amsterdam	Netherlands	2002-05	2002
1773.800	SAMEA968184	Netherlands: Amsterdam	Netherlands	2001-06	2001
1773.633	SAMEA787756	Uganda: Kampala	Uganda	2005-04-01	2005
1773.7493	SAMEA2682980	Peru	Peru	2011	2011
1773.7517	SAMEA2682855	Peru	Peru	2009	2009
1773.1058	SAMEA1707218	Russia	Russia	2010	2010
1773.1133	SAMEA1019109	United Kingdom: Midlands	United Kingdom	2011	2011
1773.1392	SAMEA1403614	Russia	Russia	2009	2009
1773.2317	SAMEA961677	United Kingdom: Midlands	United Kingdom	2008	2008
1773.10560	SAMN09566392	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10581	SAMN09566461	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.1913	SAMEA1707425	Russia	Russia	2010	2010
1773.2038	SAMEA1018931	United Kingdom: Midlands	United Kingdom	2002	2002
1773.10592	SAMN09566448	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10721	SAMN09566580	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10748	SAMN09566533	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10778	SAMN09566505	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10827	SAMN09566698	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.2199	SAMEA1019266	United Kingdom: Midlands	United Kingdom	2006	2006
1773.10543	SAMN09566390	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10570	SAMN09566481	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10582	SAMN09566460	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10588	SAMN09566453	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10646	SAMN09566613	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10671	SAMN09566537	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10675	SAMN09566532	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10796	SAMN09566687	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.10806	SAMN09566656	South Africa: Kwa-Zulu Natal	South Africa	2011/2014	2011
1773.559	SAMN03372109	New Zealand: Auckland	New Zealand	2010	2010
1773.1130	SAMEA1019056	United Kingdom: Midlands	United Kingdom	2008	2008
1773.1287	SAMEA1016101	Russia	Russia	2008	2008
1773.2100	SAMEA1019048	United Kingdom: Midlands	United Kingdom	2003	2003
1773.2142	SAMEA1019131	United Kingdom: Midlands	United Kingdom	2006	2006
1773.2267	SAMEA961623	United Kingdom: Midlands	United Kingdom	2008	2008
1773.9531	SAMN08637795	Lebanon	Lebanon	2016-01-26	2016
