Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Biosample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,host_disease,Host,Instrument,isolate,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR6896192,WGS,GCF_000195955.2,386,596121261,PRJNA428596,SAMN08795210,TRL0016066_WGS,Pathogen.cl,333351600,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846246,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate291,Not applicable,Not collected,TRL0016066_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016066,SRP128089
SRR6896193,WGS,GCF_000195955.2,390,224644498,PRJNA428596,SAMN08795211,TRL0016080_WGS,Pathogen.cl,131116930,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846245,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate292,Not applicable,Not collected,TRL0016080_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016080,SRP128089
SRR6896196,WGS,GCF_000195955.2,363,202474733,PRJNA428596,SAMN08795214,TRL0016098_WGS,Pathogen.cl,109853383,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846242,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate295,Not applicable,Not collected,TRL0016098_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016098,SRP128089
SRR6896199,WGS,GCF_000195955.2,426,117129950,PRJNA428596,SAMN08795217,TRL0016129_WGS,Pathogen.cl,67169171,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846239,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate298,Not applicable,Not collected,TRL0016129_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,TRL0016129,SRP128089
SRR6896201,WGS,GCF_000195955.2,523,318558988,PRJNA428596,SAMN08795032,EB00181559_WGS,Pathogen.cl,185052030,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846237,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate113,Not applicable,Not collected,EB00181559_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EB00181559,SRP128089
SRR6896203,WGS,GCF_000195955.2,402,186649025,PRJNA428596,SAMN08795030,EB00168504_WGS,Pathogen.cl,116595893,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846235,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate111,Not applicable,Not collected,EB00168504_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EB00168504,SRP128089
SRR6896204,WGS,GCF_000195955.2,507,424590299,PRJNA428596,SAMN08795037,EB00198368_WGS,Pathogen.cl,280236547,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846234,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate118,Not applicable,Not collected,EB00198368_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,EB00198368,SRP128089
SRR6896208,WGS,GCF_000195955.2,521,607160574,PRJNA428596,SAMN08795039,ED00778346_WGS,Pathogen.cl,392277829,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846230,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate120,Not applicable,Not collected,ED00778346_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,ED00778346,SRP128089
SRR6896212,WGS,GCF_000195955.2,369,142288765,PRJNA428596,SAMN08794988,DH00637914_WGS,Pathogen.cl,89345362,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846226,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate69,Not applicable,Not collected,DH00637914_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DH00637914,SRP128089
SRR6896214,WGS,GCF_000195955.2,514,106788181,PRJNA428596,SAMN08794984,DH00634094_WGS,Pathogen.cl,59748167,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846224,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate65,Not applicable,Not collected,DH00634094_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DH00634094,SRP128089
SRR6896216,WGS,GCF_000195955.2,480,261098509,PRJNA428596,SAMN08794986,DH00634109_WGS,Pathogen.cl,160867237,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846222,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate67,Not applicable,Not collected,DH00634109_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DH00634109,SRP128089
SRR6896218,WGS,GCF_000195955.2,558,478992262,PRJNA428596,SAMN08794980,DH00625221_WGS,Pathogen.cl,286681033,SAN RAFFAELE,missing,2010/2014,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3846220,uncalculated,uncalculated,missing,Tuberculosis,Homo sapiens,Illumina MiSeq,Clinical isolate61,Not applicable,Not collected,DH00625221_WGS,PAIRED,RANDOM,GENOMIC,Mycobacterium tuberculosis,ILLUMINA,2018-03-27T00:00:00Z,DH00625221,SRP128089
