BioSample	isolation_country	collection_year	tag
SAMEA787746	Uganda	2005	patric,ncbi
SAMN08684019	Lebanon	2017	patric,ncbi
SAMN09566410	South Africa	2011	patric,ncbi
SAMN09566677	South Africa	2011	patric,ncbi
SAMN09566722	South Africa	2011	patric,ncbi
SAMEA968177	Netherlands	1994	patric,ncbi
SAMEA968080	Netherlands	1992	patric,ncbi
SAMEA968084	Netherlands	1999	patric,ncbi
SAMEA787745	Uganda	2004	patric,ncbi
SAMEA968103	Netherlands	2001	patric,ncbi
SAMN09566395	South Africa	2011	patric,ncbi
SAMN09566394	South Africa	2011	patric,ncbi
SAMEA787732	Uganda	2005	patric,ncbi
SAMEA968194	Netherlands	1996	patric,ncbi
SAMEA968141	Netherlands	1995	patric,ncbi
SAMEA968079	Netherlands	1992	patric,ncbi
SAMEA787734	Uganda	2004	patric,ncbi
SAMEA787742	Uganda	2003	patric,ncbi
SAMN09566468	South Africa	2011	patric,ncbi
SAMN09566455	South Africa	2011	patric,ncbi
SAMN09566458	South Africa	2011	patric,ncbi
SAMEA968174	Netherlands	1993	patric,ncbi
SAMEA1706706	Netherlands	1998	patric,ncbi
SAMEA787720	Uganda	2004	patric,ncbi
SAMN03941250	Taiwan	2006	patric,ncbi
SAMEA968161	Netherlands	1999	patric,ncbi
SAMEA968207	Netherlands	2004	patric,ncbi
SAMEA787735	Uganda	2004	patric,ncbi
SAMN09566712	South Africa	2011	patric,ncbi
SAMEA1706664	Netherlands	1995	patric,ncbi
SAMEA968209	Netherlands	2001	patric,ncbi
SAMEA968120	Netherlands	2002	patric,ncbi
SAMEA968184	Netherlands	2001	patric,ncbi
SAMEA787756	Uganda	2005	patric,ncbi
SAMEA2682980	Peru	2011	patric,ncbi
SAMEA2682855	Peru	2009	patric,ncbi
SAMN09566392	South Africa	2011	patric,ncbi
SAMN09566461	South Africa	2011	patric,ncbi
SAMN09566448	South Africa	2011	patric,ncbi
SAMN09566580	South Africa	2011	patric,ncbi
SAMN09566533	South Africa	2011	patric,ncbi
SAMN09566505	South Africa	2011	patric,ncbi
SAMN09566698	South Africa	2011	patric,ncbi
SAMN09566390	South Africa	2011	patric,ncbi
SAMN09566481	South Africa	2011	patric,ncbi
SAMN09566460	South Africa	2011	patric,ncbi
SAMN09566453	South Africa	2011	patric,ncbi
SAMN09566613	South Africa	2011	patric,ncbi
SAMN09566537	South Africa	2011	patric,ncbi
SAMN09566532	South Africa	2011	patric,ncbi
SAMN09566687	South Africa	2011	patric,ncbi
SAMN09566656	South Africa	2011	patric,ncbi
SAMN03372109	New Zealand	2010	patric,ncbi
SAMEA1019131	United Kingdom	2006	patric,ncbi
SAMN08637795	Lebanon	2016	patric,ncbi
SAMN09566482	South Africa	2011	patric,ncbi
SAMN09566447	South Africa	2011	patric,ncbi
SAMN09566440	South Africa	2011	patric,ncbi
SAMN09566618	South Africa	2011	patric,ncbi
SAMN09566636	South Africa	2011	patric,ncbi
SAMN09566622	South Africa	2011	patric,ncbi
SAMN09566541	South Africa	2011	patric,ncbi
SAMN09566509	South Africa	2011	patric,ncbi
SAMN09566713	South Africa	2011	patric,ncbi
SAMN09566715	South Africa	2011	patric,ncbi
SAMN09566652	South Africa	2011	patric,ncbi
SAMN09566688	South Africa	2011	patric,ncbi
SAMN09566691	South Africa	2011	patric,ncbi
SAMEA1019118	United Kingdom	2006	patric,ncbi
SAMN09566497	South Africa	2011	patric,ncbi
SAMN09566591	South Africa	2011	patric,ncbi
SAMN09566625	South Africa	2011	patric,ncbi
SAMN09566673	South Africa	2011	patric,ncbi
SAMN09566674	South Africa	2011	patric,ncbi
SAMN09566431	South Africa	2011	patric,ncbi
SAMN09566707	South Africa	2011	patric,ncbi
SAMN03813789	United States	1998	patric,ncbi
SAMN09566568	South Africa	2011	patric,ncbi
SAMN09566535	South Africa	2011	patric,ncbi
SAMN09566633	South Africa	2011	patric,ncbi
SAMN09566628	South Africa	2011	patric,ncbi
SAMN09566702	South Africa	2011	patric,ncbi
SAMN09566420	South Africa	2011	patric,ncbi
SAMN09566721	South Africa	2011	patric,ncbi
SAMEA2682893	Peru	2010	patric,ncbi
SAMN03813790	United States	1999	patric,ncbi
SAMEA968152	Estonia	2005	patric,ncbi
SAMN09566489	South Africa	2011	patric,ncbi
SAMN09566452	South Africa	2011	patric,ncbi
SAMN09566423	South Africa	2011	patric,ncbi
SAMEA968112	Netherlands	2006	patric,ncbi
SAMEA787716	Uganda	2004	patric,ncbi
SAMN02943515	China	2013	patric,ncbi
SAMN09566433	South Africa	2011	patric,ncbi
SAMN09566635	South Africa	2011	patric,ncbi
SAMN09566470	South Africa	2011	patric,ncbi
SAMN04159245	Malaysia		patric,ncbi
SAMN08687167	Lebanon	2017	patric,ncbi
SAMEA961586	United Kingdom	2001	patric,ncbi
SAMEA968077	Netherlands	1997	patric,ncbi
SAMN03793151	Thailand	2000	patric,ncbi
SAMN09566465	South Africa	2011	patric,ncbi
SAMN09566730	South Africa	2011	patric,ncbi
SAMN03813780	United States	1998	patric,ncbi
SAMEA3246143	Ethiopia		patric,ncbi
SAMEA968098	Netherlands	2002	patric,ncbi
SAMEA968131	Netherlands	2004	patric,ncbi
SAMEA787714	Uganda	2005	patric,ncbi
SAMN04634165	Mozambique	2014	patric,ncbi
SAMEA961584	United Kingdom	2007	patric,ncbi
SAMN09566644	South Africa	2011	patric,ncbi
SAMN09566668	South Africa	2011	patric,ncbi
SAMEA787748	Uganda	2003	patric,ncbi
SAMN09566692	South Africa	2011	patric,ncbi
SAMEA787717	Uganda	2004	patric,ncbi
SAMN09566463	South Africa	2011	patric,ncbi
SAMN09566631	South Africa	2011	patric,ncbi
SAMEA787728	Uganda	2006	patric,ncbi
SAMEA2682889	Peru	2009	patric,ncbi
SAMEA1707226	Russia	2009	patric,ncbi
SAMEA1019097	United Kingdom	2007	patric,ncbi
SAMN09566557	South Africa	2011	patric,ncbi
SAMN09566605	South Africa	2011	patric,ncbi
SAMN09566524	South Africa	2011	patric,ncbi
SAMEA2682726	Peru	2008	patric,ncbi
SAMN09566419	South Africa	2011	patric,ncbi
SAMN09566444	South Africa	2011	patric,ncbi
SAMN09566589	South Africa	2011	patric,ncbi
SAMN09566569	South Africa	2011	patric,ncbi
SAMN09566573	South Africa	2011	patric,ncbi
SAMN09566708	South Africa	2011	patric,ncbi
SAMN09566685	South Africa	2011	patric,ncbi
SAMEA787703	Uganda	2005	patric,ncbi
SAMN08684024	Lebanon	2017	patric,ncbi
SAMN09566425	South Africa	2011	patric,ncbi
SAMN09566498	South Africa	2011	patric,ncbi
SAMN09566592	South Africa	2011	patric,ncbi
SAMN09566587	South Africa	2011	patric,ncbi
SAMN09566547	South Africa	2011	patric,ncbi
SAMN09566530	South Africa	2011	patric,ncbi
SAMN09566709	South Africa	2011	patric,ncbi
SAMN09566700	South Africa	2011	patric,ncbi
SAMN03813793	United States	2002	patric,ncbi
SAMN09566516	South Africa	2011	patric,ncbi
SAMN09566706	South Africa	2011	patric,ncbi
SAMEA787754	Uganda	2004	patric,ncbi
SAMEA2682797	Peru	2009	patric,ncbi
SAMEA1706659	Netherlands	1994	patric,ncbi
SAMN09566456	South Africa	2011	patric,ncbi
SAMN09566609	South Africa	2011	patric,ncbi
SAMN09566705	South Africa	2011	patric,ncbi
SAMN03813791	United States	2004	patric,ncbi
SAMN03813776	United States	2000	patric,ncbi
SAMEA1019270	United Kingdom	2010	patric,ncbi
SAMEA968192	Netherlands	1993	patric,ncbi
SAMEA1706680	Netherlands	2001	patric,ncbi
SAMEA968082	Netherlands	1999	patric,ncbi
SAMN09566476	South Africa	2011	patric,ncbi
SAMN09566517	South Africa	2011	patric,ncbi
SAMN09566697	South Africa	2011	patric,ncbi
SAMN03793146	Thailand	2003	patric,ncbi
SAMEA2683000	Peru	2011	patric,ncbi
SAMN03813792	United States	2001	patric,ncbi
SAMEA968189	Netherlands	1999	patric,ncbi
SAMEA968208	Netherlands	1998	patric,ncbi
SAMEA1706682	Netherlands	1995	patric,ncbi
SAMEA1706689	Netherlands	1995	patric,ncbi
SAMEA787752	Uganda	2005	patric,ncbi
SAMEA968191	Netherlands	2002	patric,ncbi
SAMEA3354378			patric,ncbi
SAMEA1706654	Netherlands	1997	patric,ncbi
SAMEA2683049	Peru	2011	patric,ncbi
SAMN08684023	Lebanon	2017	patric,ncbi
SAMN05916385	Peru	2012	patric,ncbi
SAMN05916303	Peru	2012	patric,ncbi
SAMN05918590	Peru	2012	patric,ncbi
SAMN08437144	Colombia	2006	patric,ncbi
SAMN06010342	Peru	2012	patric,ncbi
SAMN09566492	South Africa	2011	patric,ncbi
SAMN09566588	South Africa	2011	patric,ncbi
SAMN09566529	South Africa	2011	patric,ncbi
SAMN03840761	Thailand	2010	patric,ncbi
SAMN08199302	Guatemala	2011	patric,ncbi
SAMN08199347	Guatemala	2011	patric,ncbi
SAMN08199268	Guatemala	2010	patric,ncbi
SAMN08199265	Guatemala	2011	patric,ncbi
SAMN08199267	Guatemala	2011	patric,ncbi
SAMN08199348	Guatemala	2010	patric,ncbi
SAMN06141171	Denmark	1998	patric,ncbi
SAMN05916460	Peru	2012	patric,ncbi
SAMN05918918	Peru	2012	patric,ncbi
SAMN05919664	Peru	2012	patric,ncbi
SAMN08199271	Guatemala	2010	patric,ncbi
SAMN05721799			patric,ncbi
SAMN05915250	Peru	2012	patric,ncbi
SAMN05918751	Peru	2012	patric,ncbi
SAMN09477757	Myanmar	2017	patric,ncbi
SAMEA1523387	South Africa		patric,ncbi
SAMEA2682672	Peru	2008	patric,ncbi
SAMN05916393	Peru	2012	patric,ncbi
SAMN05916446	Peru	2012	patric,ncbi
SAMN05918714	Peru	2012	patric,ncbi
SAMN05918718	Peru	2012	patric,ncbi
SAMN05918927	Peru	2012	patric,ncbi
SAMN05918529	Peru	2012	patric,ncbi
SAMN05918603	Peru	2012	patric,ncbi
SAMN08436884	Colombia	2007	patric,ncbi
SAMN03813785	United States	1999	patric,ncbi
SAMN05833362	Colombia	2007	patric,ncbi
SAMEA961583	United Kingdom	2007	patric,ncbi
SAMN05918580	Peru	2012	patric,ncbi
SAMN08386658	Colombia	1998	patric,ncbi
SAMN08432974	Colombia	2005	patric,ncbi
SAMN08437162	Colombia	2006	patric,ncbi
SAMN02688394	Taiwan	2007	patric,ncbi
SAMN05721797			patric,ncbi
SAMEA1523362	South Africa		patric,ncbi
SAMEA968115	Netherlands	1997	patric,ncbi
SAMN05916325	Peru	2012	patric,ncbi
SAMN06292067	China	2008	patric,ncbi
SAMN08432968	Colombia	2005	patric,ncbi
SAMN09566540	South Africa	2011	patric,ncbi
SAMN09566531	South Africa	2011	patric,ncbi
SAMN04910091			patric,ncbi
SAMN03813803	United States	2002	patric,ncbi
SAMEA1523356	South Africa		patric,ncbi
SAMN09566555	South Africa	2011	patric,ncbi
SAMN09566554	South Africa	2011	patric,ncbi
SAMN09566510	South Africa	2011	patric,ncbi
