sra_accession	strain_name	province	Isoniazid	Rifampicin	Ethambutol	Streptomycin	Kanamycin	Ofloxacin
 SRS797385 	07DS01118	Beijing	S	S	S	S	S	S
 SRS797290 	07DS01119	Beijing	S	S	S	S	S	S
 SRS797154 	07DS01133	Beijing	S	S	S	S	S	S
 SRS796954 	07DS01141	Beijing	S	S	S	S	S	S
 SRS797126 	07DS02119	Tianjin	S	S	S	S	S	S
 SRS797272 	07DS02154	Tianjin	S	S	S	S	S	S
 SRS797252 	07DS02177	Tianjin	S	S	S	S	S	S
 SRS796935 	07DS02182	Tianjin	S	S	S	S	S	S
 SRS797419 	07DS02193	Tianjin	S	S	S	S	S	S
 SRS797145 	07DS03101	Hebei	S	S	S	S	S	S
 SRS797072 	07DS03130	Hebei	S	S	S	S	S	S
 SRS797096 	07DS03140	Hebei	S	S	S	S	S	S
 SRS797348 	07DS03167	Hebei	S	S	S	S	S	S
 SRS797043 	07DS03218	Hebei	S	S	S	S	S	S
 SRS797261 	07DS03272	Hebei	S	S	S	S	S	S
 SRS797009 	07DS03277	Hebei	S	S	S	S	S	S
 SRS797241 	07DS03291	Hebei	S	S	S	S	S	S
 SRS796998 	07DS03327	Hebei	S	S	S	S	S	S
 SRS797007 	07DS03341	Hebei	S	S	S	S	S	S
 SRS797288 	07DS03353	Hebei	S	S	S	S	S	S
 SRS797099 	07DS03362	Hebei	S	S	S	S	S	S
 SRS797031 	07DS04102	Shanxi	S	S	S	S	S	S
 SRS797137 	07DS04130	Shanxi	S	S	S	S	S	S
 SRS797030 	07DS04131	Shanxi	S	S	S	S	S	S
 SRS797146 	07DS04144	Shanxi	S	S	S	S	S	S
 SRS797240 	07DS04251	Shanxi	S	S	S	S	S	S
 SRS797076 	07DS04268	Shanxi	S	S	S	S	S	S
 SRS796969 	07DS05117	InnerMongolia	S	S	S	S	S	S
 SRS797319 	07DS05127	InnerMongolia	S	S	S	S	S	S
 SRS797437 	07DS05157	InnerMongolia	S	S	S	S	S	S
 SRS797063 	07DS06116	Liaoning	S	S	S	S	S	S
 SRS797115 	07DS06141	Liaoning	S	S	S	S	S	S
 SRS797379 	07DS06142	Liaoning	S	S	S	S	S	S
 SRS796941 	07DS06153	Liaoning	S	S	S	S	S	S
 SRS797445 	07DS07126	Jilin	S	S	S	S	S	S
 SRS797107 	07DS07136	Jilin	S	S	S	S	S	S
 SRS797109 	07DS07151	Jilin	S	S	S	S	S	S
 SRS797254 	07DS07152	Jilin	S	S	S	S	S	S
 SRS797447 	07DS08102	Heilongjiang	S	S	S	S	S	S
 SRS797451 	07DS08108	Heilongjiang	S	S	S	S	S	S
 SRS797324 	07DS08155	Heilongjiang	S	S	S	S	S	S
 SRS797105 	07DS08162	Heilongjiang	S	S	S	S	S	S
 SRS797403 	07DS08219	Heilongjiang	S	S	S	S	S	S
 SRS797471 	07DS08221	Heilongjiang	S	S	S	S	S	S
 SRS797125 	07DS08249	Heilongjiang	S	S	S	S	S	S
 SRS797204 	07DS08254	Heilongjiang	S	S	S	S	S	S
 SRS797412 	07DS09125	Shanghai	S	S	S	S	S	S
 SRS797259 	07DS09128	Shanghai	S	S	S	S	S	S
 SRS797176 	07DS09138	Shanghai	S	S	S	S	S	S
 SRS797299 	07DS09142	Shanghai	S	S	S	S	S	S
 SRS797214 	07DS10117	Jiangsu	S	S	S	S	S	S
 SRS797341 	07DS10130	Jiangsu	S	S	S	S	S	S
 SRS797097 	07DS10144	Jiangsu	S	S	S	S	S	S
 SRS797363 	07DS10228	Jiangsu	S	S	S	S	S	S
 SRS797108 	07DS10245	Jiangsu	S	S	S	S	S	S
 SRS797464 	07DS10249	Jiangsu	S	S	S	S	S	S
 SRS797103 	07DS10339	Jiangsu	S	S	S	S	S	S
 SRS797104 	07DS10342	Jiangsu	S	S	S	S	S	S
 SRS797354 	07DS10356	Jiangsu	S	S	S	S	S	S
 SRS797452 	07DS10404	Jiangsu	S	S	S	S	S	S
 SRS797338 	07DS10423	Jiangsu	S	S	S	S	S	S
 SRS797264 	07DS10432	Jiangsu	S	S	S	S	S	S
 SRS797332 	07DS11148	Zhejiang	S	S	S	S	S	S
 SRS797017 	07DS11158	Zhejiang	S	S	S	S	S	S
 SRS797265 	07DS11159	Zhejiang	S	S	S	S	S	S
 SRS797119 	07DS11209	Zhejiang	S	S	S	S	S	S
 SRS797232 	07DS11217	Zhejiang	S	S	S	S	S	S
 SRS797158 	07DS11221	Zhejiang	S	S	S	S	S	S
 SRS797196 	07DS12140	Anhui	S	S	S	S	S	S
 SRS797361 	07DS12228	Anhui	S	S	S	S	S	S
 SRS797203 	07DS12232	Anhui	S	S	S	S	S	S
 SRS797218 	07DS12248	Anhui	S	S	S	S	S	S
 SRS796949 	07DS12302	Anhui	S	S	S	S	S	S
 SRS797206 	07DS12347	Anhui	S	S	S	S	S	S
 SRS796947 	07DS12353	Anhui	S	S	S	S	S	S
 SRS797061 	07DS12424	Anhui	S	S	S	S	S	S
 SRS797213 	07DS12427	Anhui	S	S	S	S	S	S
 SRS797200 	07DS12440	Anhui	S	S	S	S	S	S
 SRS797367 	07DS13142	Fujian	S	S	S	S	S	S
 SRS797405 	07DS13143	Fujian	S	S	S	S	S	S
 SRS797342 	07DS13149	Fujian	S	S	S	S	S	S
 SRS797431 	07DS13150	Fujian	S	S	S	S	S	S
 SRS797249 	07DS13248	Fujian	S	S	S	S	S	S
 SRS797345 	07DS13261	Fujian	S	S	S	S	S	S
 SRS797384 	07DS14111	Jiangxi	S	S	S	S	S	S
 SRS797359 	07DS14151	Jiangxi	S	S	S	S	S	S
 SRS797028 	07DS14250	Jiangxi	S	S	S	S	S	S
 SRS796953 	07DS14264	Jiangxi	S	S	S	S	S	S
 SRS797459 	07DS14303	Jiangxi	S	S	S	S	S	S
 SRS797329 	07DS14325	Jiangxi	S	S	S	S	S	S
 SRS797179 	07DS14365	Jiangxi	S	S	S	S	S	S
 SRS797127 	07DS15102	Shandong	S	S	S	S	S	S
 SRS797237 	07DS15116	Shandong	S	S	S	S	S	S
 SRS797400 	07DS15211	Shandong	S	S	S	S	S	S
 SRS797350 	07DS15222	Shandong	S	S	S	S	S	S
 SRS797306 	07DS15246	Shandong	S	S	S	S	S	S
 SRS797239 	07DS15321	Shandong	S	S	S	S	S	S
 SRS796989 	07DS15351	Shandong	S	S	S	S	S	S
 SRS797193 	07DS15354	Shandong	S	S	S	S	S	S
 SRS797181 	07DS15417	Shandong	S	S	S	S	S	S
 SRS797448 	07DS15420	Shandong	S	S	S	S	S	S
 SRS797376 	07DS15455	Shandong	S	S	S	S	S	S
 SRS797184 	07DS16103	Henan	S	S	S	S	S	S
 SRS797305 	07DS16139	Henan	S	S	S	S	S	S
 SRS797000 	07DS16159	Henan	S	S	S	S	S	S
 SRS797057 	07DS16211	Henan	S	S	S	S	S	S
 SRS797060 	07DS16231	Henan	S	S	S	S	S	S
 SRS796938 	07DS16233	Henan	S	S	S	S	S	S
 SRS797091 	07DS16319	Henan	S	S	S	S	S	S
 SRS797183 	07DS16330	Henan	S	S	S	S	S	S
 SRS796955 	07DS16350	Henan	S	S	S	S	S	S
 SRS797002 	07DS16423	Henan	S	S	S	S	S	S
 SRS797226 	07DS16425	Henan	S	S	S	S	S	S
 SRS797034 	07DS16454	Henan	S	S	S	S	S	S
 SRS797220 	07DS16554	Henan	S	S	S	S	S	S
 SRS797382 	07DS16571	Henan	S	S	S	S	S	S
 SRS797032 	07DS17148	Hubei	S	S	S	S	S	S
 SRS797276 	07DS17150	Hubei	S	S	S	S	S	S
 SRS797429 	07DS17160	Hubei	S	S	S	S	S	S
 SRS797472 	07DS17209	Hubei	S	S	S	S	S	S
 SRS797275 	07DS17225	Hubei	S	S	S	S	S	S
 SRS797303 	07DS17260	Hubei	S	S	S	S	S	S
 SRS797020 	07DS17325	Hubei	S	S	S	S	S	S
 SRS797024 	07DS17327	Hubei	S	S	S	S	S	S
