Run_ID,isoniazid,rifampicin,ethambutol,streptomycin,amikacin,capreomycin,kanamycin
ERR3256109,0,0,0,1,0,0,0
ERR3256110,1,1,0,0,0,0,0
ERR3256111,0,0,0,0,0,0,0
ERR3256112,1,1,0,0,0,0,0
ERR3256113,1,0,0,0,0,0,0
ERR3256114,1,1,1,1,0,0,0
ERR3256115,1,1,0,0,0,0,0
ERR3256116,1,1,0,0,0,0,0
ERR3256117,0,0,0,0,0,0,0
ERR3256118,0,0,0,0,0,0,0
ERR3256119,1,1,1,0,0,0,0
ERR3256120,0,0,0,0,0,0,0
ERR3256121,0,0,0,0,0,0,0
ERR3256122,NA,0,0,0,0,0,0
ERR3256123,0,0,0,0,0,0,0
ERR3256124,0,0,0,0,0,0,0
ERR3256125,0,0,0,1,0,0,0
ERR3256126,1,1,NA,1,0,0,0
ERR3256127,1,1,NA,1,0,NA,0
ERR3256128,1,1,NA,1,0,0,0
ERR3256129,0,0,0,0,0,0,0
ERR3256130,1,1,1,1,0,NA,0
ERR3256131,1,0,0,1,0,0,1
ERR3256132,1,1,1,1,0,NA,1
ERR3256133,0,0,0,0,0,0,0
ERR3256134,1,1,0,1,0,0,0
ERR3256135,1,1,NA,0,0,0,0
ERR3256136,0,0,0,0,0,0,0
ERR3256137,1,1,0,0,0,0,0
ERR3256138,1,1,0,0,0,0,0
ERR3256139,0,0,0,0,0,0,0
ERR3256140,0,0,0,0,0,0,0
ERR3256141,1,0,0,0,0,0,0
ERR3256142,1,1,0,0,0,0,0
ERR3256143,1,1,0,NA,0,0,0
ERR3256144,1,1,0,NA,0,0,0
ERR3256145,1,0,0,0,0,0,0
ERR3256146,1,0,0,0,0,0,0
ERR3256147,0,0,0,0,0,0,0
ERR3256148,1,0,0,0,0,0,0
ERR3256149,0,0,0,0,0,NA,0
ERR3256150,0,0,0,NA,0,0,0
ERR3256151,NA,0,0,0,0,0,0
ERR3256152,1,0,NA,0,0,0,0
ERR3256153,1,NA,0,0,0,0,0
ERR3256154,1,0,0,1,0,0,0
ERR3256155,NA,0,0,0,0,0,0
ERR3256156,0,0,0,NA,0,0,0
ERR3256157,0,0,0,0,0,NA,0
