Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
		S								S						
SAMEA1015921														S		
SAMEA1015929						S								S		
SAMEA1015932														S		
SAMEA1015933						S		S						S	S	
SAMEA1015935						S								S	S	
SAMEA1015936						S								S		
SAMEA1015937						S								S		
SAMEA1015939						S		S						S	S	
SAMEA1015943														S		
SAMEA1015944						S		S						S	S	
SAMEA1015951						S										
SAMEA1015954						S		S						S	S	
SAMEA1015957														S		
SAMEA1015959						S		S						R	S	
SAMEA1015961						S								S		
SAMEA1015969						S		S						S	S	
SAMEA1015973						S		S						S	S	
SAMEA1015977						S								S		
SAMEA1015978						R		R							R	
SAMEA1015980														S	S	
SAMEA1015985						R		R						R	R	
SAMEA1015986						S		R						S		
SAMEA1015987						S								S	S	
SAMEA1015988						S		S						S	S	
SAMEA1015989						S								S	S	
SAMEA1015990						S		R						S		
SAMEA1015991						S								S	S	
SAMEA1015997						S		R						S	R	
SAMEA1015998						S								S		
SAMEA1016000						S		S						S	S	
SAMEA1016002														R		
SAMEA1016004						S								S	S	
SAMEA1016005								S						S	S	
SAMEA1016006														S		
SAMEA1016008								R						S	R	
SAMEA1016011						R		R						S	S	
SAMEA1016013														S		
SAMEA1016018						S		R						S	R	
SAMEA1016019						S		S						S	S	
SAMEA1016024						S		S						S	S	
SAMEA1016025						S		S						S	S	
SAMEA1016026						S		R						S		
SAMEA1016028														R		
SAMEA1016034								R						S	R	
SAMEA1016038								R						R		
SAMEA1016039						S								S		
SAMEA1016042						R		R						S	R	
SAMEA1016043						S		S						S	S	
SAMEA1016044						S		S						S	S	
SAMEA1016047						S		S						S	S	
SAMEA1016051						S		R						S	S	
SAMEA1016053								R						S	R	
SAMEA1016054						S								S		
SAMEA1016055						S								S		
SAMEA1016061						S								R		
SAMEA1016068						S								S		
SAMEA1016075						S								R		
SAMEA1016081						S								S	S	
SAMEA1016084						S		S						S	S	
SAMEA1016086						S		R						S	R	
SAMEA1016088						S								S	S	
SAMEA1016089														S		
SAMEA1016090						S		S						S	S	
SAMEA1016096								R							S	
SAMEA1016097						S		R						S	S	
SAMEA1016098						R		R						S	R	
SAMEA1016099						S								S		
SAMEA1016101														S		
SAMEA1016104						S									S	
SAMEA1016111						R		R						S	R	
SAMEA1016112						R		R						S	R	
SAMEA1016113						S								S		
SAMEA1016114						S		S						S	S	
SAMEA1016128						S		S						S	S	
SAMEA1016130						S		S						S	S	
SAMEA1016139														S		
SAMEA1016142						S		R						S	R	
SAMEA1016144						S		S						S	S	
SAMEA1016148						R		R						S	R	
SAMEA1016158						S									S	
SAMEA1016159														S		
SAMEA1016161						S		S						S	S	
SAMEA1016163														R		
SAMEA1016165						S								S		
SAMEA1016167						S		S						S	S	
SAMEA1016172						S								S	S	
SAMEA1016174						S								S	R	
SAMEA1016179						S								S		
SAMEA1016185						S		R								
SAMEA1016186						S		S						S	S	
SAMEA1016190						S		S						S		
SAMEA1016191						S		S						S	S	
SAMEA1016197						S								S		
SAMEA1016198						S		S						S	S	
SAMEA1016202														S		
SAMEA1018838				S		S		R						S	S	
SAMEA1018839						S		S						S	S	S
SAMEA1018840						S		S						S	S	
SAMEA1018843						S		S						S	S	
SAMEA1018844						S		S						S	S	
SAMEA1018845						S		S						S	S	
SAMEA1018846				S		S		S						S	S	
SAMEA1018848						S		R						S	S	
SAMEA1018849						S		S						S	S	
SAMEA1018850						S		S						S	S	
SAMEA1018853						S		S						S	S	
SAMEA1018855						S		S						S	S	
SAMEA1018856						S		S						S	S	
SAMEA1018857						S		S						S	S	
SAMEA1018859				R		R		S						S	S	
SAMEA1018863						S		S						S	S	
SAMEA1018864				S		S		R						S	R	
SAMEA1018866						S		S						S	S	
SAMEA1018869				S		S		S						S	S	R
